name,price,detail_link,image_link,tags
"Murray McDavid Mystery Malt Juniper Hill 8 years old 55,3%","€61,95",https://slijterijdehelm.nl/winkel/whisky/murray-mcdavid-mystery-malt-juniper-hill-8-years-old-553/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Murray-McDavid-Mystery-Malt-Juniper-Hill-8-years-old-553-600x600.png,Whisky
Johnnie Walker Red Label liter,"€23,95",https://slijterijdehelm.nl/winkel/whisky/blended/johnnie-walker-red-label-liter/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Johnnie-Walker-Red-Label-liter-600x600.jpg,"Blended, Whisky"
Bowmore 10 years old Dark & Intense liter,"€49,95",https://slijterijdehelm.nl/winkel/whisky/malt/bowmore-10-years-old-dark-intense-liter/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Bowmore-10-years-old-Dark-038-Intense-liter-600x600.png,"Malt, Whisky"
"Talisker Wild Blue 48,2%","€71,95",https://slijterijdehelm.nl/winkel/whisky/malt/talisker-wild-blue-482/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Talisker-Wild-Blue-482-600x600.png,"Malt, Whisky"
"Dewar’s 8 years old Portugese Smooth 0,7 ltr","€25,95",https://slijterijdehelm.nl/winkel/whisky/blended/dewars-8-years-old-portugese-smooth-07-ltr/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Dewars-8-years-old-Portugese-Smooth-07-ltr-600x600.png,"Blended, Whisky"
Ardbeg Monsters of Smoke 3×200 ml,"€53,95",https://slijterijdehelm.nl/winkel/whisky/malt/ardbeg-monsters-of-smoke-3x200-ml/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Ardbeg-Monsters-of-Smoke-3%C3%97200-ml-600x600.png,"Geschenken, Malt, Whisky"
"Signatory Vintage The Un-Chillfiltered Collection Dailuaine 2012 10 years old #308754,308758,308762,308763 46%","€49,95",https://slijterijdehelm.nl/winkel/whisky/malt/signatory-vintage-the-un-chillfiltered-collection-dailuaine-2012-10-years-old-308754308758308762308763-46/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Signatory-Vintage-The-Un-Chillfiltered-Collection-Dailuaine-2012-600x600.png,"Malt, Whisky"
Angel’s Envy Port Cask,"€69,95",https://slijterijdehelm.nl/winkel/whisky/bourbon/angels-envy-port-cask/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Angels-Envy-Port-Cask-600x600.png,"Bourbon, Whisky"
Blackadder A Drop of the Irish Cask BA DROP 2024-01,"€89,95",https://slijterijdehelm.nl/winkel/whisky/malt/blackadder-a-drop-of-the-irish-cask-ba-drop-2024-01/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Blackadder-A-Drop-of-the-Irish-Cask-BA-DROP-2024-01-600x600.png,"Malt, Whisky"
"Blackadder Red Snake Redneck 154 60,6%","€106,95",https://slijterijdehelm.nl/winkel/whisky/malt/blackadder-red-snake-redneck-154-606/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Blackadder-Red-Snake-Redneck-154-606-600x600.png,Malt
Port Charlotte SYC:01 2013,"€138,95",https://slijterijdehelm.nl/winkel/whisky/malt/port-charlotte-syc01-2013/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Port-Charlotte-SYC01-2013-600x600.png,"Malt, Whisky"
"Glen Scotia Malts Festival 2025 9 years old 54,3%","€72,95",https://slijterijdehelm.nl/winkel/whisky/malt/glen-scotia-malts-festival-2025-9-years-old-543/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Glen-Scotia-Malts-Festival-2025-9-years-old-543-600x600.png,"Malt, Whisky"
"James Eadie Caol Ila 12 years old 52,3%","€86,95",https://slijterijdehelm.nl/winkel/whisky/malt/james-eadie-caol-ila-12-years-old-523/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/James-Eadie-Caol-Ila-12-years-old-523-600x600.png,"Malt, Whisky"
"James Eadie Aberlour 10 years old 58,9%","€87,95",https://slijterijdehelm.nl/winkel/whisky/malt/james-eadie-aberlour-10-years-old-589/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/James-Eadie-Aberlour-10-years-old-589-600x600.png,"Malt, Whisky"
James Eadie Royal Brackla 10 years old 46%,"€53,95",https://slijterijdehelm.nl/winkel/whisky/malt/james-eadie-royal-brackla-10-years-old-46/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/James-Eadie-Royal-Brackla-10-years-old-46-600x600.png,"Malt, Whisky"
"James Eadie Strathclyde 20 years old 52,9%","€79,95",https://slijterijdehelm.nl/winkel/whisky/malt/james-eadie-strathclyde-20-years-old-529/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/James-Eadie-Strathclyde-20-years-old-529-600x600.png,"Malt, Whisky"
Royal Salute 21 years old Polo Rio de Janeiro,"€184,95",https://slijterijdehelm.nl/winkel/whisky/malt/royal-salute-21-years-old-polo-rio-de-janeiro/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Royal-Salute-21-years-old-Polo-Rio-de-Janeiro-600x600.png,"Malt, Whisky"
